lifetime_gross,rank,studio,title,year
477453,8519,IFC,Wiener-Dog,2016
476270,8520,Vita.,The Baader Meinhof Complex,2009
476032,8521,Eros,Bhoothnath,2008
475618,8522,CJ,Confidential Assignment,2017
475104,8523,Eros,Drona,2008
474900,8524,USA,Plunkett and Macleane,1999
474252,8525,CL,Detective Chinatown (Tang ren jie tan an),2016
473771,8526,Neon,Beach Rats,2017
472370,8527,First,Party Girl,1995
472185,8528,Echo,Artie Lange's Beer League,2006
471842,8529,IFC,The Flat,2012
471575,8530,CL,Duckweed,2017
471334,8531,Abr.,Pearl Jam Twenty,2011
471210,8532,WB,The Affair of the Necklace,2001
470760,8533,CGld,About Elly,2015
470691,8534,PArch,JCVD,2008
469777,8535,Par.,Kelly,1981
469571,8536,SPC,A Midwinter's Tale,1996
468930,8537,OrionC,"Maybe, Maybe Not",1996
468867,8538,Triu,Steamboy,2005
468684,8539,USA,Joe Gould's Secret,2000
467817,8540,Fathom,DCI 2017 Tour Premeire,2017
467602,8541,Wein.,Submarine,2011
467596,8542,FIP,Phillauri,2017
467288,8543,Palm,The Housekeeper,2003
466664,8544,SmlP,Tully,2002
466505,8545,JBG,Luck-Key,2016
466309,8546,All.,La Ligne brisee,2008
466114,8547,AEF,Last Days in Vietnam,2014
465310,8548,Mira.,Blue Car,2003
465080,8549,Lot47,Venus Beauty Institute,2000
464991,8550,Hale,Church Ball,2006
464284,8551,Oct.,Colonel Chabert,1994
464275,8552,BV,The Last Shot,2004
463972,8553,TriS,Slaves of New York,1989
463542,8554,Triu,The Second Chance,2006
463540,8555,UTV,Thank You (2011),2011
463080,8556,PicH,Last Days,2005
463002,8557,Indic.,Romeo & Juliet: Sealed with a Kiss,2006
462918,8558,CL,Let's Get Married,2015
461674,8559,IFC,The Flight of the Red Balloon,2008
461572,8560,CLS,Outfoxed: Rupert Murdoch's War on Journalism,2004
460978,8561,Ode.,Foolproof,2003
460226,8562,UMPO,Rififi,1956
459836,8563,IM,Detective Dee and the Mystery of the Phantom Flame,2011
459824,8564,Orion,The House on Carroll Street,1988
459749,8565,Sony,The Last Supper,1996
459166,8566,Viv.,The Stone Angel,2008
458232,8567,CityL,Brooklyn Rules,2007
457806,8568,WGUSA,New World (2013),2013
457380,8569,Yash,Tashan,2008
456854,8570,WGUSA,Chasing the Dragon,2017
456127,8571,SGE,McBain,1991
455654,8572,Wein.,Crossing Over,2009
455164,8573,IDP,Rain,2002
454736,8574,SPC,The Legend of Suriyothai,2003
454121,8575,RAtt.,Circumstance,2011
453650,8576,FRun,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2010
453507,8577,Eros,Lucky,2005
453377,8578,Magn.,The Extra Man,2010
453243,8579,GK,Only Yesterday (2016 re-release),2016
452053,8580,Elev.,Sailor Moon R: The Movie,2017
450897,8581,FoxS,Day Watch,2007
450726,8582,TWE,Full Moon in Blue Water,1988
450692,8583,FIP,Bombay Velvet,2015
450594,8584,SPC,Brother,2001
450501,8585,SPC,Danzon,1992
450060,8586,First,Bitter Sugar,1996
449865,8587,SPC,The Damned United,2009
449707,8588,Kino,"The Wonderful, Horrible Life of Leni Riefenstahl",1994
449523,8589,FUN,Attack on Titan: Part 1,2015
449482,8590,Inn.,Lockdown,2003
449191,8591,Rialto,The Third Man (2015 re-release),2015
448542,8592,Think,Time Out,2002
447954,8593,RTWC,Bachelorette,2012
447353,8594,Osci.,Felix and Meira,2015
447267,8595,ParC,The Triumph of Love,2002
446955,8596,Reg.,Callas Forever,2004
446165,8597,ADF,Wristcutters: A Love Story,2007
445522,8598,Cow.,I Am Trying to Break Your Heart,2002
445374,8599,Mira.,The Heart of the Game,2006
445367,8600,ParC,The Way Home,2002
444334,8601,Uni.,Fast Charlie... the Moonbeam Rider,1979
444179,8602,RAtt.,In Secret,2014
444098,8603,erbp,Upstream Color,2013
444093,8604,Fox,Idiocracy,2006
444055,8605,Vest,The Rainbow,1989
443684,8606,BG,Song to Song,2017
443591,8607,ICir,The Hammer,2008
443238,8608,Emp.,Merci Pour le Chocolat,2002
443169,8609,Oct.,Nadja,1995
442936,8610,Shad.,Gypsy Caravan,2007
442813,8611,SPC,The Beautiful Country,2005
442676,8612,Mira.,Especially on Sunday,1993
441863,8613,Uni.,"'Night, Mother",1986
441664,8614,NYer,The Town Is Quiet,2001
441137,8615,Uni.,Morons from Outer Space,1985
440793,8616,SPC,Don't Come Knocking,2006
440627,8617,Magn.,Gimme Danger,2016
440554,8618,Wins.,The Circle,2001
440525,8619,UTV,No One Killed Jessica,2011
439309,8620,SPC,Sketches of Frank Gehry,2006
438207,8621,UTV,Baaghi,2016
437547,8622,WB,Mishima: A Life in Four Chapters,1985
436798,8623,WGUSA,I Am Not Madame Bovary,2016
435746,8624,IFC,Savage Grace,2008
435395,8625,Strand,Head-On (Gegen die Wand),2005
435274,8626,Zeit.,Vision,2010
435266,8627,SPC,Land of Mine,2016
434107,8628,Eros,Ferrari Ki Sawaari,2012
433924,8629,CIE,Rosenwald,2015
433588,8630,Free,I Want Your Money,2010
431513,8631,Think,When Do We Eat?,2006
430760,8632,CL,But Always (Yi Sheng Yi Shi),2014
430404,8633,MGM,Just the Ticket,1999
429477,8634,SPC,Saint Laurent,2015
429028,8635,Isld,Track 29,1988
428868,8636,WB,Body Snatchers,1994
428318,8637,CL,Beijing Love Story,2014
427628,8638,Relbig.,Break Ke Baad,2010
427418,8639,IFC,Cold in July,2014
426894,8640,CL,If You Are the One 2 (Fei Cheng Wu Rao II),2010
426880,8641,Lions,The Hard Word,2003
426855,8642,Abr.,The Singing Revolution,2007
426688,8643,Focus,The Limits of Control,2009
426318,8644,Eros,Josh,2000
425831,8645,SHO,Listen to Me Marlon,2015
425045,8646,IDP,Conversations with God,2006
424798,8647,Zeit.,Earth (1999),1999
424773,8648,Mira.,Drowning by Numbers,1991
424760,8649,Think,Primer,2004
424123,8650,Lions,8 1/2 Women,2000
423593,8651,FUN,One Piece Film: Gold,2017
422853,8652,Vari.,Sound City,2013
422667,8653,Sony,Tiger Warsaw,1988
422503,8654,Fox,Storyville,1992
421573,8655,ICir,She's Beautiful When She's Angry,2014
421516,8656,Mael.,Porn Star: The Legend of Ron Jeremy,2001
421454,8657,SPC,Broken Wings,2004
421432,8658,Oct.,The Last Days,1999
421343,8659,Avat.,Divine Intervention (2003),2003
421307,8660,Scre.,Lymelife,2009
421201,8661,Skou,The Good Father,1987
420813,8662,Abr.,Heart of a Dog,2015
420224,8663,Wins.,Baise-Moi,2000
419952,8664,AAE,Voiceless,2016
418961,8665,Oct.,Killing Zoe,1994
418843,8666,Vita.,El Crimen Perfecto,2005
418807,8667,Par.,True Colors,1991
418689,8668,Cyan,The OH in Ohio,2006
418480,8669,NYer,The Eel,1998
418392,8670,Gold.,The German Doctor,2014
418379,8671,Spec.,Aloha Summer,1988
418296,8672,IDP,Seraphim Falls,2007
418063,8673,CL,The Witness (Wo shi zheng ren),2015
418053,8674,WB,How to Get Ahead in Advertising,1989
417683,8675,Mira.,"My Son, the Fanatic",1999
417120,8676,Wells,In the Realms of the Unreal,2004
416951,8677,SPC,Interview,2007
416925,8678,IDP,The Believer,2002
416401,8679,Gram.,The Eighth Day,1997
416393,8680,Col.,Desert Bloom,1986
415775,8681,WGUSA,The Pirates,2014
414437,8682,Magn.,A Hijacking,2013
414358,8683,MGM,CQ,2002
414254,8684,USA,Wonderland (2000),2000
413903,8685,Eros,Grand Masti,2013
413479,8686,Sony,3 Ninjas Knuckle Up,1995
413076,8687,WB,1998 Bugs Bunny Film Festival,1998
412520,8688,Rialto,Godzilla (Original Japanese Version),2004
411746,8689,Anch.,Seeking Justice,2012
411678,8690,Indic.,Tuvalu,2001
411184,8691,RAtt.,Project Nim,2011
411119,8692,NM,Spun,2003
410952,8693,Can.,Number One with a Bullet,1987
410526,8694,Eros,Phata Poster Nikla Hero,2013
410465,8695,FR,Janis: Little Girl Blue,2015
410185,8696,Grav.,Unbranded,2015
410055,8697,FIP,A Gentleman,2017
409978,8698,Meg.,Hawayein,2003
409658,8699,IFC,A Girl Cut in Two,2008
409604,8700,Hale,Mobsters and Mormons,2005
409166,8701,Eros,Badlapur,2015
409144,8702,Gram.,Jude,1996
408983,8703,Magn.,I'm Still Here,2010
408839,8704,Triu,Triumph of the Spirit,1989
408709,8705,TRR,The Promotion,2008
408159,8706,RM,The 5th Quarter,2011
408015,8707,FoxS,Sound of My Voice,2012
407871,8708,Purd.,"Love, Kennedy",2017
407500,8709,Uni.,Journey to Shiloh,1968
407377,8710,Magn.,Humpday,2009
406881,8711,Isld,Slamdance,1987
406284,8712,Abr.,Chasing Trane: The John Coltrane Documentary,2017
406235,8713,Eros,Har dil jo Pyar Karega,2000
406116,8714,App.,The Square,2010
405917,8715,RTWC,The Hunting Ground,2015
405792,8716,IDP,Little Secrets,2002
405331,8717,Art.,Amandla!,2003
405191,8718,Free,Preaching to the Choir,2006
405094,8719,Emp.,Intimacy,2001
404508,8720,Mile.,Killer of Sheep (re-issue),2007
404122,8721,IFC,Antichrist,2009
403952,8722,SPC,Wild Grass,2010
403701,8723,FL,Mother Night,1996
403069,8724,Indic.,A Wake in Providence,2005
403056,8725,MK2,La Belle Noiseuse,1991
402858,8726,WIP,Snow Angels,2008
402723,8727,Jan.,The Apu Trilogy,2015
402668,8728,Strat.,The School of Flesh,1999
402088,8729,N/A,The Little Traitor,2009
402000,8730,Indic.,Pariah (2000),2000
401421,8731,MGM,Some Girls,1988
401328,8732,Purd.,Freetown,2015
401245,8733,Eros,Dillagi,1999
400948,8734,SPC,My Life Without Me,2003
400460,8735,LGF,Condorito: La Pelicula,2018
400438,8736,SPC,Jindabyne,2007
400019,8737,Rialto,Mafioso (re-issue),2007
399748,8738,Arro.,Bandit Queen,1995
399110,8739,Think,The Mystic Masseur,2002
398278,8740,SPC,Head in the Clouds,2004
397641,8741,FullC,Transylmania,2009
397517,8742,Mira.,Four Days in September,1998
397020,8743,Sony,Swept from the Sea,1998
396803,8744,Think,"Still, We Believe: The Boston Red Sox Movie",2004
396760,8745,SPC,Yes,2005
396573,8746,OrionC,The Adjuster,1992
396519,8747,IFC,Ain't Them Bodies Saints,2013
395105,8748,Gold.,Golden Gate,1994
394631,8749,WB,Dogfight,1991
394079,8750,USA,Lucie Aubrac,1999
393825,8751,Uni.,The Holcroft Covenant,1985
393117,8752,Mus.,Jee Aayun Nu,2002
392076,8753,Eros,Hamara Dil Aapke Paas Hai,2000
391950,8754,Magn.,End of the Century: The Story of the Ramones,2004
391674,8755,IFC,Tiny Furniture,2010
391653,8756,Villa,Bittersweet Motel,2000
390659,8757,IsAl,Subway,1985
390152,8758,NL,Where the Day Takes You,1992
390099,8759,KL,Goodbye to Language,2014
390024,8760,LF,Detropia,2012
389757,8761,Cohen,In the House,2013
389503,8762,Oct.,Search and Destroy,1995
389220,8763,IFC,Brothers (2005),2005
388532,8764,Lions,House of D,2005
388390,8765,BPic,The Last Sin Eater,2007
388140,8766,IFC,Things To Come,2016
387069,8767,MGM,Touch,1997
386673,8768,MGM,The End of Violence,1997
386540,8769,CL,The Wasted Times,2016
386368,8770,KL,The Well-Digger's Daughter,2012
386073,8771,Hann.,Turtle: The Incredible Journey,2011
385687,8772,Col.,Sylvester,1985
385373,8773,Fox,Little Manhattan,2005
384955,8774,Wein.,Where in the World Is Osama Bin Laden?,2008
384793,8775,Strand,Steam: Turkish Bath,1998
384756,8776,Fathom,Rifftrax: Samurai Cop,2017
384473,8777,IFC,Dirty Wars,2013
384098,8778,Lot47,"Scotland, PA",2002
384048,8779,Trit,American Heart,1993
384029,8780,MGM,Copying Beethoven,2006
383294,8781,SPC,The Armstrong Lie,2013
382946,8782,WHE,Hesher,2011
382928,8783,Trim.,Swimming with Sharks,1995
382807,8784,WB,Into the Arms of Strangers,2000
382510,8785,NL,Sweet Talker,1991
381420,8786,SPC,The Quiet,2006
381225,8787,Mela,Short Cut to Nirvana: Kumbh Mela,2004
380594,8788,SPC,At Any Price,2013
380505,8789,Koch,The Syrian Bride,2005
380011,8790,Relbig.,Humpty Sharma Ki Dulhania,2014
379466,8791,Eros,Khiladi 786,2012
379418,8792,Fabr.,Conversations with Other Women,2006
379408,8793,WIP,Introducing the Dwights,2007
379384,8794,Strand,Head On,1999
378899,8795,Fathom,I'll Push You,2017
378452,8796,UA,Streamers,1983
378382,8797,SPC,Blind Spot: Hitler's Secretary,2003
378294,8798,IFC,Rebel in the Rye,2017
378176,8799,USA,Session 9,2001
377832,8800,Mira.,Close to Eden,1992
377607,8801,SPC,Coming Home (2015),2015
377271,8802,Excel,Pride and Prejudice (2003),2003
376986,8803,Osci.,The Second Mother,2015
376714,8804,Libre,Hochelaga,2000
376612,8805,Reg.,The Hunting of the President,2004
376597,8806,SPC,Smashed,2012
376512,8807,W/Dim.,Piranha 3DD,2012
376050,8808,MGM,The Human Factor,1979
376000,8809,Eros,Lajja,2001
375892,8810,CL,Personal Tailor,2013
375805,8811,Sony,3 Ninjas: High Noon at Mega Mountain,1998
375757,8812,SPC,The Whole Wide World,1996
375750,8813,IFC,The Game of Their Lives,2005
375713,8814,UA,Britannia Hospital,1983
375634,8815,UA,Hurricane Streets,1998
375627,8816,Elev.,Puella Magi Madoka Magica the Movie: Rebellion,2013
375495,8817,CL,Women Who Flirt (Sajiao Nvren),2014
375403,8818,ParC,Asylum,2005
375261,8819,FoxS,Shooting Fish,1998
374675,8820,IFC,Fish Tank,2010
374550,8821,Roxie,Genghis Blues,1999
374360,8822,TVA,Annie Brocoli dans les fonds marin,2003
373743,8823,NL,The Decline of Western Civilization Part II: The Metal Years,1988
373605,8824,IFC,Venus in Fur,2014
373420,8825,Wein.,Miral,2011
373375,8826,RAtt.,Joe (2014),2014
373366,8827,IFC,Keep the River on Your Right - A Modern Cannibal Tale,2001
372438,8828,MGM,Movers and Shakers,1985
372124,8829,WIP,Towelhead,2008
371674,8830,Mira.,The Star Maker,1996
371396,8831,NL,Highwaymen,2004
371111,8832,AMJB,The Bicycle Thief,1949
370720,8833,Art.,Open Your Eyes,1999
370698,8834,Mira.,Light Years,1988
370668,8835,Art.,The Minus Man,1999
370627,8836,Free,Shadowboxer,2006
370562,8837,Avat.,Nico and Dani,2001
370218,8838,ICir,Hava Nagila (The Movie),2013
369975,8839,SPC,Me Myself I,2000
369970,8840,Rialto,Le Cercle Rouge (Re-issue),2003
369573,8841,Eros,Shootout at Wadala,2013
369129,8842,PF,Mooz-lum,2011
369065,8843,ICir,When Comedy Went to School,2013
368088,8844,SPC,Lebanon,2010
367098,8845,North,The Basket,1999
366377,8846,ATO,The Oranges,2012
366344,8847,TAS,The Animation Show,2003
366301,8848,Wells,The Brown Bunny,2004
366037,8849,SPC,She Hate Me,2004
365727,8850,SPC,Baadasssss!,2004
365422,8851,A23,Glen Campbell... I'll Be Me,2014
365401,8852,Yash,Thoda Pyaar Thoda Magic,2008
365318,8853,VidS,Tera Jadoo Chal Gayaa,2000
365284,8854,Gold.,Palookaville,1996
364932,8855,UTV,Katti Batti,2015
364642,8856,Par.,Real Life,1979
364369,8857,Fathom,Boston: An American Running Story,2017
364357,8858,UTV,Deewane Huye Paagal,2005
364164,8859,OrionC,Nostradamus,1994
363561,8860,Troma,The Toxic Avenger Part III: The Last Temptation of Toxie,1989
363409,8861,Wells,The Adventures of Felix,2001
363031,8862,Rialto,Breathless (2010 re-issue),2010
362657,8863,WGUSA,Kung Fu Yoga,2017
362649,8864,Wells,The Source,1999
360886,8865,All.,La Riviere aux Castors,2008
360759,8866,ParC,I'll Sleep When I'm Dead,2004
360251,8867,Sony,Grateful Dawg,2001
359745,8868,Fathom,Disney Junior HalloVeen Party,2017
359735,8869,Vita.,Letters from Baghdad,2017
359050,8870,FL,An Affair of Love,2000
358574,8871,WB,Revolution,1985
358362,8872,ParC,Enduring Love,2004
358047,8873,Can.,American Ninja 4: The Annihilation,1991
357197,8874,UA,City of Ghosts,2003
356749,8875,Mira.,Artemisia,1998
356582,8876,RTWC,Lovelace,2013
356255,8877,CL,Mr. Donkey,2016
356149,8878,Kino,Poetry,2011
356122,8879,FL,Trust,1991
356077,8880,Mira.,Iron and Silk,1991
356019,8881,AdL.,Luck by Chance,2009
356000,8882,AF,Omar,2014
355922,8883,FIP,Ok Jaanu,2017
355391,8884,Cohen,The Lady,2012
355074,8885,SPC,Eat That Question: Frank Zappa in His Own Words,2016
354952,8886,Art.,My Name Is Joe,1999
354421,8887,Mira.,Buffalo Soldiers,2003
354004,8888,Strand,Love Is the Devil,1998
353580,8889,Da.,Broadway: The Golden Age,2004
353513,8890,RAtt.,Branded,2012
353275,8891,All.,Comment Ma Mere Accoucha de Moi Durant,2003
352810,8892,BCR,Like Dandelion Dust,2010
352534,8893,AF,Effie Gray,2015
352428,8894,IFC,The Princess of Montpensier,2011
352296,8895,Zeit.,Lumumba,2001
351957,8896,Abr.,Long Strange Trip - The Untold Story of The Grateful Dead,2017
351840,8897,Eros,Happy Bhaag Jayegi,2016
351623,8898,MovE,Weekend Warriors,1986
351447,8899,USA,"Black Cat, White Cat",1999
351416,8900,RAtt.,Everybody Wants to Be Italian,2008
351235,8901,IFC,Kitchen Stories,2004
351059,8902,LibE,Tokyo!,2009
350864,8903,Relbig.,Singham,2011
350741,8904,Focus,Maps to the Stars,2015
350703,8905,Eros,Kahaani 2,2016
350524,8906,GK,Chico & Rita,2012
350481,8907,Atl,Summer Heat,1987
350456,8908,AR,L.O.R.D: Legend of Ravaging Dynasties,2016
350391,8909,Zeit.,Since Otar Left,2004
350006,8910,IFC,The Face of Love,2014
349637,8911,Eros,Wanted (2009),2009
349618,8912,Tau,Two Evil Eyes,1991
349132,8913,IDP,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2006
348833,8914,Abr.,Pearl Jam - Let's Play Two,2017
347977,8915,Gold.,The Merry Gentleman,2009
347578,8916,RAtt.,Teeth,2008
347328,8917,RM,Billy: The Early Years of Billy Graham,2008
347321,8918,Asp.,Noble,2015
347038,8919,KL,Tom of Finland,2017
346830,8920,Free,Green Street Hooligans,2005
346730,8921,Vest,The Family,1988
346669,8922,IFC,The Angels' Share,2013
346472,8923,Magn.,High-Rise,2016
346297,8924,Cinc,The Deceivers,1988
346056,8925,TriS,The Second Jungle Book: Mowgli and Baloo,1997
345972,8926,BV,A Pyromaniac's Love Story,1995
345704,8927,NW,Prison,1988
345649,8928,Tips,Dil Ka Rishtaa,2003
345478,8929,Strand,I Think I Do,1998
345280,8930,TriS,La Cage aux Folles 3,1986
345091,8931,Eros,Kaal,2005
344992,8932,Outr.,American Adobo,2002
344375,8933,MGM,It Takes Two (1988),1988
343890,8934,WB,Windy City,1984
343847,8935,ParC,The United States of Leland,2004
343786,8936,Ave,Tapeheads,1988
343387,8937,Fathom,Canelo vs. Chavez Jr.,2017
343341,8938,Magn.,Drinking Buddies,2013
342941,8939,Zeit.,Koch,2013
342922,8940,CJ,A Werewolf Boy,2012
342895,8941,SPC,Sleuth (2007),2007
342747,8942,Hole.,The Dying Gaul,2005
342667,8943,Cohen,Le Chef,2014
342370,8944,Rel.,Talvar,2015
342184,8945,Relbig.,Gori Tere Pyaar Mein,2013
341323,8946,NM,Creation,2010
341280,8947,Chri.,Les Dangereux,2002
341221,8948,Zeit.,Jellyfish,2008
341121,8949,Rialto,The Fallen Idol (2006 re-issue),2006
340911,8950,XL,Jimi: All Is By My Side,2014
340139,8951,FL,Total Eclipse,1995
340058,8952,E1,Starbuck (U.S. only),2013
339379,8953,Mira.,Albino Alligator,1997
338987,8954,MBox,Happy People: A Year in the Taiga,2013
338803,8955,Vari.,Red Hook Summer,2012
338795,8956,SPC,Lorna's Silence,2009
338523,8957,Cohen,Chinese Puzzle,2014
337907,8958,WGUSA,Northern Limit Line,2015
337812,8959,TWE,Night Game,1989
337670,8960,WGUSA,This Is Not What I Expected,2017
337356,8961,Scre.,The Private Lives of Pippa Lee,2009
337265,8962,N.Arts,Don't Move,2005
337174,8963,ParC,The Singing Detective,2003
336909,8964,Eros,Kyon? Ho Gaya Pyu,2004
336811,8965,Circ,Dark Obsession,1991
336772,8966,Eros,Shaadi No. 1,2005
336620,8967,WB,Welcome to Collinwood,2002
336569,8968,All.,Tout est Parfait,2008
336472,8969,FoxS,I Origins,2014
336467,8970,IFC,Enter the Void,2010
336396,8971,Par.,Talent for the Game,1991
336386,8972,FRun,Kings of Pastry,2010
335726,8973,MAC,Wooly Boys,2004
335359,8974,EOne,Diana,2013
335090,8975,Magn.,The 2006 Academy Award Nominated Short Films,2007
334748,8976,Fox,Frankenstein Unbound,1990
334618,8977,UTV,Chup Chup Ke,2006
334616,8978,IFC,"Like Father, Like Son (2014)",2014
334450,8979,SPC,The Devil and Daniel Johnston,2006
334319,8980,Mira.,Welcome to Sarajevo,1997
333760,8981,Lions,Monument Ave.,1998
333707,8982,SPC,The Memory of a Killer,2005
333554,8983,Magn.,Ballet 422,2015
332890,8984,PH,The Guest (2014),2014
332829,8985,IFC,Gabrielle,2006
332597,8986,Sony,The Assignment,1997
332491,8987,Eros,Zinda,2006
332306,8988,NGE,The First Grader,2011
331816,8989,TriS,Private Resort,1985
331507,8990,Rel.,Te3n,2016
331166,8991,NEM,Yuva,2004
331051,8992,SPC,The Lady and the Duke,2002
330067,8993,First,Lawless Heart,2003
330033,8994,SPC,Zelary,2004
329972,8995,All.,Cheech,2006
329379,8996,IFC,This Is England,2007
329211,8997,Gold.,Kissed,1997
327959,8998,CineGalaxy,Kaashmora,2016
327958,8999,Col.,Monty Python Live at the Hollywood Bowl,1982
327716,9000,IFC,Super,2011
327615,9001,UTV,Viruddh,2005
327452,9002,IFC,Elaine Stritch: Shoot Me,2014
327345,9003,IFC,Liberal Arts,2012
327167,9004,Magn.,Nymphomaniac: Volume II,2014
326876,9005,IDP,The Road to Guantanamo,2006
326484,9006,Pict.,Come Undone,2001
326095,9007,IFC,Russian Dolls,2006
325680,9008,Vita.,Ju-On: The Grudge,2004
325653,9009,IFC,The Central Park Five,2012
325196,9010,Strand,Stranger By the Lake,2014
325131,9011,Mira.,City of Men,2008
324977,9012,Free,Camp (2013),2013
324597,9013,Eros,Shamitabh,2015
324414,9014,Orion,God's Own Country,2017
324006,9015,Lions,Les Enfants Du Marais,1999
323947,9016,Lori,World Gone Wild,1988
323923,9017,SPC,Me You Them,2001
323860,9018,Think,The Boys of Baraka,2005
323411,9019,Par.,The Education of Little Tree,1997
323041,9020,Wins.,Winter Sleepers,2000
322975,9021,Oct.,The Cement Garden,1994
322871,9022,Mira.,House of Cards,1993
322313,9023,UA,The Last Waltz,1978
321910,9024,VPD,The Bounce Back,2016
321642,9025,KL,Jafar Panahi's Taxi,2015
320725,9026,IFC,Chuck,2017
320700,9027,Wein.,Days of Glory,2006
320486,9028,Osci.,A Film Unfinished,2010
320319,9029,Kino,Happy Together,1997
320256,9030,EP,TerrorVision,1986
320092,9031,Sun.,Die Mommie Die!,2003
319355,9032,ParC,Winter Solstice,2005
319299,9033,IFC,The Safety of Objects,2003
319285,9034,Magn.,Compliance,2012
319123,9035,Trim.,Trading Mom,1994
319021,9036,Free,Steve Harvey's Don't Trip... He Ain't Through with Me Yet!,2006
318982,9037,EXCL,Adore,2013
318823,9038,ParC,Bride of the Wind,2001
318816,9039,Magn.,Bukowski: Born Into This,2004
318809,9040,Ban.,Telling Lies in America,1997
318623,9041,Gold.,The Yellow Handkerchief,2010
318574,9042,Focus,Thirst,2009
318246,9043,ParC,Trekkies,1999
318121,9044,Free,Not Today,2013
317831,9045,Vita.,Today's Special,2010
317564,9046,Yash,Saathiya,2002
317422,9047,FL,Lovers of the Arctic Circle,1999
317405,9048,Zeit.,The Salt of Life,2012
317324,9049,Cohen,On My Way,2014
316554,9050,Forewarned,AmeriGeddon,2016
316472,9051,IFC,Good Kill,2015
316319,9052,Lions,Sweet Sixteen,2003
316199,9053,Vest,Promised Land,1988
316100,9054,REI,David and Goliath,2015
316043,9055,Lions,Le Dernier Souffle,1999
316020,9056,Shad.,Under the Sun,2001
315421,9057,Isld,Crusoe,1989
315049,9058,KL,Obit.,2017
314729,9059,First,Elling,2002
314701,9060,Eros,Pukar,2000
314402,9061,BV,America's Heart and Soul,2004
313967,9062,IRS,The Music of Chance,1993
313770,9063,Eros,Happy Ending,2014
313411,9064,IFC,Citizen Jane,2017
313039,9065,Una.,Grass,2000
312954,9066,CL,Back to 1942,2012
312824,9067,Chri.,Tais-toi,2004
312751,9068,FRun,For the Bible Tells Me So,2007
312706,9069,Free,The Hornet's Nest,2014
312537,9070,WGUSA,City of Rock,2017
312494,9071,IFC,L'Amour Fou,2011
312434,9072,Gat.,The Gatekeeper,2003
312187,9073,KC,The Mill and the Cross,2011
311434,9074,WHE,The Flowers of War,2012
311245,9075,FL,Monster in a Box,1992
310978,9076,CL,Running Man (2015),2015
310330,9077,Eros,Hindustan Ki Kasam,1999
310154,9078,SPC,West of Memphis,2012
310116,9079,Proud,I Am Eleven,2014
309973,9080,GK,A Cat in Paris,2012
309766,9081,GK,My Life as a Zucchini,2017
309648,9082,Palm,Dark Days,2000
309596,9083,EPr,The Panama Deception,1992
309404,9084,TLA,Adam & Steve,2006
309200,9085,CL,Love (2012),2012
308575,9086,Magn.,"Bigger, Stronger, Faster*",2008
308566,9087,Eros,Masti,2004
308552,9088,MGM,Pumpkin,2002
308368,9089,SPC,The Slingshot,1994
308156,9090,SPC,Merchants of Doubt,2015
307631,9091,Focus,Never Again,2002
307486,9092,Free,Dot the I,2005
307333,9093,Lions,Intacto,2002
307308,9094,Oct.,The Addiction,1995
307233,9095,Lions,Lost and Delirious,2001
307208,9096,Mira.,Secuestro Express,2005
307040,9097,MBox,Francofonia,2016
307037,9098,SPC,Whatever,1998
306917,9099,MBox,A Five Star Life,2014
306845,9100,IFC,This Film Is Not Yet Rated,2006
306691,9101,Roxie,Nico-Icon,1995
306567,9102,TLA,The Trip,2003
306533,9103,BPic,Constellation,2007
306319,9104,Col.,Hard Promises,1992
306140,9105,Osci.,Unmistaken Child,2009
306061,9106,Atl,Boarding School,1983
305934,9107,FUN,Attack on Titan: Part 2,2015
305800,9108,IDP,Pretty Persuasion,2005
305281,9109,Inn.,Hair Show,2004
305205,9110,Eros,Khushi,2003
305102,9111,WB,Eleni,1985
305070,9112,WB,Rapa Nui,1994
304909,9113,IDP,Me Without You,2002
304616,9114,Drft.,Four Lions,2010
304533,9115,RAtt.,Fido,2007
304318,9116,MNE,Stolen (2012),2012
304124,9117,FL,The Holy Girl,2005
304052,9118,SD,Being Elmo: A Puppeteer's Journey,2011
304020,9119,IFC,White Material,2010
303877,9120,FD,In the Land of Blood and Honey,2011
303624,9121,MCE,The Chocolate War,1988
303587,9122,Eros,NH10,2015
303543,9123,MBox,"OSS 117: Cairo, Nest of Spies",2008
303439,9124,Magn.,The Life Before Her Eyes,2008
303187,9125,Drft.,Mood Indigo,2014
303064,9126,FInd.,Holy Rollers,2010
303002,9127,MBox,Mia Madre,2016
302845,9128,ArtsA,Chalk,2007
302645,9129,KE,Linsanity,2013
302458,9130,Yash,Kabul Express,2006
302232,9131,SPC,O'Horten,2009
301796,9132,Lions,Mr. Jealousy,1998
301548,9133,Turb,Lilies,1997
301447,9134,NM,God Grew Tired of Us,2007
301027,9135,Magn.,Crazy Love,2007
301010,9136,Eros,Armaan: The Desire,2003
300880,9137,FRun,42 Up,1999
300859,9138,Col.,White Water Summer,1987
300645,9139,First,Different for Girls,1997
300454,9140,ABS,Sukob (The Wedding Curse),2006
300322,9141,Palm,Cronicas,2005
300293,9142,Stu18,London Dreams,2009
300000,9143,SenD,The Informers,2009
299792,9144,Mira.,Love's Labour's Lost,2000
299569,9145,SPC,SLC Punk!,1999
299432,9146,AL,Cotton Mary,2000
