lifetime_gross,rank,studio,title,year
171243005,263,Par.,True Grit,2010
171091819,264,BV,Tarzan,1999
170742341,265,Uni.,A Beautiful Mind,2001
170687518,266,Mira.,Chicago,2002
169708112,267,BV,The Help,2011
169700110,268,Sony,Hotel Transylvania 2,2015
169607287,269,Fox,Hidden Figures,2016
169106725,270,Uni.,Bridesmaids,2011
168368427,271,Sony,Quantum of Solace,2008
168273550,272,BV,Wild Hogs,2007
168052812,273,WB,Kong: Skull Island,2017
167780960,274,BV,Three Men and a Baby,1987
167767189,275,Fox,Gone Girl,2014
167445960,276,Sony,Casino Royale,2006
166244045,277,Uni.,Meet the Parents,2000
166167230,278,Uni.,Fifty Shades of Grey,2015
166112167,279,Sony,2012,2009
165493908,280,WB,Robin Hood: Prince of Thieves,1991
165249063,281,P/DW,Kung Fu Panda 2,2011
165092268,282,MGM,Hannibal,2001
164615351,283,DW,Catch Me If You Can,2002
163958031,284,BV,The Proposal,2009
163566459,285,Sony,The Pursuit of Happyness,2006
163479795,286,Sony,Big Daddy,1999
163214888,287,WB,Clash of the Titans (2010),2010
162994032,288,Par.,The SpongeBob Movie: Sponge Out of Water,2015
162831698,289,WB,Batman Returns,1992
162805434,290,Wein.,Django Unchained,2012
162798565,291,BV,A Bug's Life,1998
162434410,292,Uni.,Jason Bourne,2016
162001186,293,Sony,Grown Ups,2010
161491646,294,BV,The Waterboy,1998
161321843,295,Fox,Ice Age: Continental Drift,2012
161197785,296,Uni.,Straight Outta Compton,2015
160942139,297,MGM,Die Another Day,2002
160861908,298,DW,Shark Tale,2004
159582188,299,Fox,The Heat,2013
158848340,300,Par.,Star Trek Beyond,2016
158671368,301,Fox,The Sound of Music,1965
158348367,302,Par.,The Firm,1993
158119460,303,Par.,The Longest Yard,2005
157299717,304,Fox,X-Men,2000
157019771,305,Mira.,Scary Movie,2000
156645693,306,Par.,Fatal Attraction,1987
156452370,307,BV,Who Framed Roger Rabbit,1988
156000000,308,Uni.,The Sting,1973
155464351,309,DW,What Lies Beneath,2000
155442489,310,Fox,X-Men: Apocalypse,2016
155385488,311,Uni.,The Mummy,1999
155332381,312,Uni.,Snow White and the Huntsman,2012
155190832,313,WB (NL),San Andreas,2015
155064265,314,Uni.,Fast and Furious,2009
155019340,315,P/DW,Over the Hedge,2006
154696080,316,Fox,Fantastic Four (2005),2005
154529439,317,Fox,Dr. Seuss' Horton Hears a Who!,2008
154058340,318,WB,Mad Max: Fury Road,2015
153952592,319,Sony,Jerry Maguire,1996
153707064,320,Fox,Trolls,2016
153665036,321,Par.,Beverly Hills Cop II,1987
153294164,322,WB,Scooby-Doo,2002
153083102,323,WB,Gremlins,1984
152901115,324,BV,Cars 3,2017
152647258,325,WB (NL),Sex and the City,2008
152257509,326,Par.,Runaway Bride,1999
151101803,327,LG/S,La La Land,2016
150947895,328,LG/S,Divergent,2014
150415432,329,TriS,Rambo: First Blood Part II,1985
150394119,330,WB (NL),We're the Millers,2013
150371112,331,WB,Terminator 3: Rise of the Machines,2003
150357137,332,Par.,Daddy's Home,2015
150201498,333,Par.,G.I. Joe: The Rise of Cobra,2009
150157400,334,Uni.,Neighbors,2014
150117807,335,Sony,American Hustle,2013
149260504,336,P/DW,Puss in Boots,2011
148809770,337,Uni.,Les Miserables (2012),2012
148768917,338,Uni.,Knocked Up,2007
148478011,339,Sony,As Good as It Gets,1997
148438600,340,Uni.,Little Fockers,2010
148415853,341,P/DW,Megamind,2010
148313048,342,Sony,Hotel Transylvania,2012
148213377,343,Sony,Talladega Nights: The Ballad of Ricky Bobby,2006
148095302,344,WB,Gran Torino,2008
147253986,345,WB,Lethal Weapon 2,1989
146880162,346,Fox,War for the Planet of the Apes,2017
146408305,347,Fox,X-Men: First Class,2011
146336178,348,Sony,Paul Blart: Mall Cop,2009
146282411,349,Fox,True Lies,1994
145794338,350,BV,Lilo & Stitch,2002
145103595,351,Uni.,American Pie 2,2001
145000989,352,Fox,Taken,2009
144880014,353,Dis.,101 Dalmatians,1961
144840419,354,WB,The Great Gatsby (2013),2013
144833357,355,BV,The Santa Clause,1994
144801023,356,Fox,"I, Robot",2004
144731527,357,WB,Lethal Weapon 3,1992
144533925,358,Uni.,The Fast and the Furious,2001
144156605,359,Fox,Doctor Dolittle,1998
144130063,360,Uni.,Mamma Mia!,2008
143619809,361,Fox,Rio,2011
143528619,362,Fox,Kung Fu Panda 3,2016
143495265,363,FoxS,Juno,2007
143153751,364,Fox,Marley and Me,2008
142614158,365,Sony,The Smurfs,2011
142109382,366,SonR,XXX,2002
141843612,367,Dis.,The Jungle Book,1967
141621490,368,BV,The Chronicles of Narnia: Prince Caspian,2008
141600000,369,Uni.,National Lampoon's Animal House,1978
141579773,370,BV,Pocahontas,1995
141340178,371,Col.,A Few Good Men,1992
141319928,372,FoxS,Slumdog Millionaire,2008
141186864,373,NL,Rush Hour,1998
140539099,374,Art.,The Blair Witch Project,1999
140464664,375,Par.,Deep Impact,1998
140125968,376,NL,Rush Hour 3,2007
140088813,377,TriS,Look Who's Talking,1989
140035367,378,Sony,Stuart Little,1999
139854287,379,Fox,Taken 2,2012
139605150,380,BV,Sister Act,1992
139313948,381,WB,The Matrix Revolutions,2003
139236327,382,BV,The Santa Clause 2,2002
138797449,383,Wein.,The King's Speech,2010
138614544,384,Fox,Cheaper by the Dozen,2003
138608444,385,Sony,Bad Boys II,2003
138530565,386,Orion,Platoon,1986
138447667,387,Sony,21 Jump Street,2012
138433435,388,Mira.,Good Will Hunting,1997
138291365,389,Uni.,Split,2017
137855863,390,BV,A Christmas Carol (2009),2009
137748063,391,BV,Dinosaur,2000
137400141,392,WB (NL),The Conjuring,2013
137355633,393,SonR,Click,2006
136801374,394,WB,The Green Mile,1999
136492681,395,BV,Ransom,1996
136314294,396,Sony,Godzilla,1998
136189294,397,BV,101 Dalmatians (1996),1996
136025503,398,WB,Argo,2012
135645823,399,SonR,Anger Management,2003
135386665,400,BV,Chicken Little,2005
135265915,401,NL,Teenage Mutant Ninja Turtles,1990
135189114,402,Col.,Close Encounters of the Third Kind,1977
135026902,403,Uni.,Patch Adams,1998
134966411,404,Par.,The Godfather,1972
134938200,405,Uni.,Ride Along,2014
134806913,406,Uni.,The Incredible Hulk,2008
134529403,407,Fox,Live Free or Die Hard,2007
134508551,408,Uni.,Wanted,2008
134506920,409,Uni.,Identity Thief,2013
134218018,410,WB,Superman,1978
134069511,411,BV,The Rock,1996
134029801,412,Par.,Mission: Impossible III,2006
133668525,413,Sony,Grown Ups 2,2013
133378256,414,WB,Troy,2004
133375846,415,Sony,Angels & Demons,2009
133110742,416,Fox,Alvin and the Chipmunks: Chipwrecked,2011
132716677,417,BV,Bringing Down the House,2003
132556852,418,Fox,The Wolverine,2013
132384315,419,WB,The Departed,2006
132177234,420,Uni.,Hulk,2003
132092958,421,Wein.,Silver Linings Playbook,2012
132072926,422,Fox,Minority Report,2002
131921738,423,Fox,Fantastic Four: Rise of the Silver Surfer,2007
131772187,424,Par.,The Last Airbender,2010
131538435,425,Fox,Rio 2,2014
131168070,426,Par.,Lara Croft: Tomb Raider,2001
130742922,427,Orion,The Silence of the Lambs,1991
130724172,428,BV,"Honey, I Shrunk the Kids",1989
130531208,429,Uni.,The Flintstones,1994
130444603,430,WB,Lethal Weapon 4,1998
130319208,431,WB,Get Smart,2008
130179072,432,LG/S,The Divergent Series: Insurgent,2015
130178411,433,Fox,The Peanuts Movie,2015
130168683,434,Par.,Transformers: The Last Knight,2017
130164645,435,Uni.,American Gangster,2007
130096601,436,DW,American Beauty,1999
129891525,437,LGF,Wonder,2017
129795554,438,Par.,An Officer and a Gentleman,1982
129128133,439,DW,The Ring,2002
128814019,440,Uni.,The Nutty Professor (1996),1996
128505958,441,Fox,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
128350574,442,Sony,Ghostbusters (2016),2016
128261724,443,Fox,Kingsman: The Secret Service,2015
128200012,444,Fox,Robots,2005
128152301,445,Par.,Coming to America,1988
128078872,446,SPC,"Crouching Tiger, Hidden Dragon",2000
128012934,447,Par.,Shutter Island,2010
128002372,448,BV,Into the Woods,2014
127873716,449,UA,Rocky IV,1985
127807262,450,BV,Enchanted,2007
127509326,451,Par.,The Curious Case of Benjamin Button,2008
127440871,452,WB (NL),Central Intelligence,2016
127352707,453,Par.,Anchorman 2: The Legend Continues,2013
127223418,454,BV,Sweet Home Alabama,2002
127175374,455,NL,Dumb and Dumber,1994
127154901,456,Uni.,2 Fast 2 Furious,2003
127120029,457,Sony,My Best Friend's Wedding,1997
127004179,458,Par.,Super 8,2011
126943684,459,MGM,The World Is Not Enough,1999
126737428,460,Uni.,Smokey and the Bandit,1977
126680884,461,TriS,Sleepless in Seattle,1993
126663600,462,Uni.,Lucy,2014
126643061,463,WB,The Legend of Tarzan,2016
126631277,464,P/DW,Bee Movie,2007
126477084,465,Fox,Prometheus,2012
126373434,466,Uni.,Safe House,2012
126293452,467,Sony,Mr. Deeds,2002
125618201,468,Par.,The Truman Show,1998
125595205,469,Uni.,Erin Brockovich,2000
125544280,470,WB,Ocean's Twelve,2004
125322469,471,WB,Terminator Salvation,2009
125305545,472,Sony,Charlie's Angels,2000
125304276,473,MGM,Tomorrow Never Dies,1997
125095601,474,Uni.,Lone Survivor,2013
125070033,475,WB,Sully,2016
125049125,476,UA,Rocky III,1982
125014030,477,SGem,The Vow,2012
124987023,478,Fox,Life of Pi,2012
124872350,479,Fox,The Fault in our Stars,2014
124870275,480,Sony,Cloudy with a Chance of Meatballs,2009
124740460,481,Fox,The Devil Wears Prada,2006
124728738,482,Sony,Something's Gotta Give,2003
124115725,483,USA,Traffic,2000
124060553,484,MGM,The Birdcage,1996
124033791,485,Col.,City Slickers,1991
123922370,486,BV,"Good Morning, Vietnam ",1987
123477607,487,Par.,Rango,2011
123309890,488,Uni.,The Nutty Professor II: The Klumps,2000
123087120,489,BV,The Good Dinosaur,2015
122523060,490,Par.,G.I. Joe: Retaliation,2013
122187717,491,Par.,Clear and Present Danger,1994
122012643,492,Par.,The Hunt for Red October,1990
122006740,493,WB,The Bodyguard,1992
121697323,494,Par.,Wayne's World,1992
121661683,495,Uni.,The Bourne Identity,2002
121463226,496,Sony,Superbad,2007
121248145,497,Fox,Speed,1994
120908074,498,Sony,50 First Dates,2004
120620254,499,BV,Mulan,1998
120540719,500,Wein.,Inglourious Basterds,2009
120277854,501,Uni.,Seabiscuit,2003
120177084,502,Uni.,Van Helsing,2004
120146040,503,WB (NL),Four Christmases,2008
120059556,504,Uni.,I Now Pronounce You Chuck and Larry,2007
119938730,505,NL,The Mask,1994
119793567,506,Sony,Cloudy with a Chance of Meatballs 2,2013
119654823,507,TriS,Hook,1991
119601481,508,WB,Blazing Saddles,1974
119519402,509,Fox,Walk the Line,2005
119436770,510,BV,G-Force,2009
119412921,511,Sony,Total Recall,1990
119285432,512,Uni.,On Golden Pond,1981
119219978,513,Sony,The Other Guys,2010
119194771,514,Lions,Fahrenheit 9/11,2004
118907036,515,Par.,The Sum of All Fears,2002
118871849,516,NL,Hairspray (2007),2007
118703275,517,Uni.,The Break-Up,2006
118634549,518,Par.,Lemony Snicket's A Series of Unfortunate Events,2004
118594548,519,P/DW,Blades of Glory,2007
118450002,520,Uni.,Back to the Future Part II,1989
118311368,521,Sony,Salt,2010
117727224,522,TriS,Basic Instinct,1992
117723989,523,LG/S,Now You See Me,2013
117559438,524,Fox,Big Momma's House,2000
117540947,525,Fox,Die Hard 2: Die Harder,1990
117538559,526,WB (NL),Horrible Bosses,2011
117235147,527,UA,Rocky,1976
117229692,528,Par.,Jackass 3-D,2010
117154724,529,WB,Ocean's Thirteen,2007
116934650,530,Sony,S.W.A.T.,2003
116900694,531,Par.,The Wolf of Wall Street,2013
116750901,532,Uni.,8 Mile,2002
116741558,533,Par.,Double Jeopardy,1999
116632095,534,Wein.,Lee Daniels' The Butler,2013
116601172,535,WB,Green Lantern,2011
116089678,536,Uni.,Notting Hill,1999
116000000,537,Fox,The Towering Inferno,1974
115821495,538,WB,You've Got Mail,1998
115802596,539,Sony,Ghost Rider,2007
115654751,540,BV,Remember the Titans,2000
115646235,541,TriS,District 9,2009
115637895,542,Uni.,Unbroken,2014
115171585,543,Uni.,Girls Trip,2017
115103979,544,Col.,The Karate Kid Part II,1986
115000000,545,Uni.,American Graffiti,1973
114968774,546,Fox,Big,1988
114581250,547,Uni.,Fifty Shades Darker,2017
114326736,548,Fox,DodgeBall: A True Underdog Story,2004
114197520,549,BV,The Village,2004
114053579,550,BV,Bolt,2008
113804681,551,WB,Wild Wild West,1999
113746621,552,Fox,Night at the Museum: Secret of the Tomb,2014
113721571,553,WB,Magic Mike,2012
113502426,554,Par.,The Addams Family,1991
113330342,555,Sony,The Patriot,2000
113257297,556,STX,Bad Moms,2016
113203870,557,Uni.,The Bourne Legacy,2012
113125431,558,Fox,The Greatest Showman,2017
113086868,559,BV,The Pacifier,2005
112952899,560,Fox,Dr. Dolittle 2,2001
112892319,561,Fox,The Rocky Horror Picture Show,1975
112735375,562,Uni.,It's Complicated,2009
112719001,563,Mira.,Spy Kids,2001
112494738,564,Col.,Ghostbusters II,1989
112276146,565,Par.,Face/Off,1997
112200072,566,WB,The Hangover Part III,2013
111938388,567,Uni.,Twins,1988
111761982,568,Dim.,Spy Kids 3D: Game Over,2003
111721910,569,MGM,Doctor Zhivago,1965
111549836,570,BV,Enemy of the State,1998
111543479,571,BV,The Little Mermaid,1989
111506430,572,Fox,Mr. Peabody & Sherman,2014
111289673,573,Fox,Porky's,1982
111127263,574,WB,The Last Samurai,2003
110825712,575,Fox,Spy,2015
110515313,576,P/DW,Tropic Thunder,2008
110485654,577,WB (NL),Valentine's Day,2010
110359362,578,Sony,The Grudge,2004
110332737,579,Sony,Fun with Dick and Jane,2005
110230332,580,BV,Freaky Friday,2003
110212700,581,Uni.,Trainwreck,2015
110101975,582,BV,Bedtime Stories,2008
110003217,583,Dim.,Scary Movie 3,2003
109767581,584,WB (NL),Creed,2015
109713132,585,Par.,Star Trek IV: The Voyage Home,1986
109449237,586,Uni.,The 40-Year-Old Virgin,2005
109306210,587,Par.,Crocodile Dundee II,1988
109204945,588,Uni.,Couples Retreat,2009
108981275,589,UA,One Flew Over the Cuckoo's Nest,1975
108766007,590,WB,A Time to Kill,1996
108638745,591,SonR,Black Hawk Down,2001
108423489,592,Par.,Terms of Endearment,1983
108385533,593,WB,Ace Ventura: When Nature Calls,1995
108248956,594,BV,The Princess Diaries,2001
108185706,595,WB,Superman II,1981
108085305,596,Uni.,Hop,2011
107928762,597,Mira.,Pulp Fiction,1994
107918810,598,Par.,Paranormal Activity,2009
107825862,599,TriS,Baby Driver,2017
107533928,600,Sony,A League of Their Own,1992
107518682,601,Fox,Epic,2013
107509799,602,WB,Watchmen,2009
107509366,603,Sony,The Angry Birds Movie,2016
107325195,604,WB,Batman and Robin,1997
107100855,605,Sony,Captain Phillips,2013
106954678,606,FoxS,Black Swan,2010
106885658,607,WB,Analyze This,1999
106834564,608,DW,Chicken Run,2000
106807667,609,WB,Miss Congeniality,2000
106614059,610,Par.,Indecent Proposal,1993
106593296,611,WB,Driving Miss Daisy,1989
106580051,612,WB,300: Rise of An Empire,2014
106429941,613,MGM,GoldenEye,1995
106397186,614,Par.,Love Story,1970
106260000,615,Col.,Kramer Vs. Kramer,1979
106128601,616,Par.,The Italian Job,2003
105813373,617,Par.,How to Lose a Guy in 10 Days,2003
105489203,618,Par.,The First Wives Club,1996
105269730,619,Uni.,Robin Hood,2010
105264608,620,WB,Interview with the Vampire,1994
105263257,621,BV,George of the Jungle,1997
104945305,622,AVCO,The Graduate,1967
